1,ほんとにこんな得体の知れないものを良く打ちますな。,79,家成哉平,0
2,お疲れのところ、患者さんの悩みに真摯に向き合っていただき有難うございます。少しでもお身体休めて下さい。,30,Mika w,0
3,質問回答、本当にありがとうございました。,22,江見川,0
4,このような質問会は大変ありがたいです。また次の機会をまっています,23,つのゆき,0
5,やっぱり柴苓湯良いんですね✨突発性難聴で柴苓湯処方してもらった余りがあったので後遺症にはステロイド様作用がある柴苓湯がいいんじゃないかなと自分なりに考えて飲んでました✨柴胡がいいんですね✨,4,Sadie Griffin CoConuts channel,0
6,人を変える事は出来ない。解らない人に言っても、馬の耳に念仏！,26,、たけひこ,0
7,皮膚症状が出たが、Vの副反応と認定できる病院があるかと悩んでいる人がいるのですが、どこかあるのでしょうか？,5,S Seiko,0
8,お忙しい中どうもありがとうございました。,20,K,0
9,本当のこと言ってくれた,2,順子 高橋,0
10,本題に入るの入るのいつですか。,6,中村とし子,0
11,打てば打つほど42安くなる。,5,angel presents,0
12,5回目いつ？,13,竜みぃ,0
