1,凄く分かりやすく丁寧で　親身になってくれる先生だと思いました日本国民として　感謝します,4,maruru,0
2,私以外の方の投稿もありましたが、私も２回目ワクチン接種から間もなく半年になります。ずっと腕が痛み動かせなくて日常生活も大変です。病院ではなかなかSILVAと診断をくだすのは難しいようです。医師や看護師さん達もSILVAについてまだまだ知られて居ないような感じでした。診断が出ないと治療費を申請することも出来ません。泣き寝入り状態です。　カテーテル治療は高額ですしね。アナフィラキシーなどは取り上げられていますが、SILVAについてもしっかり考えて欲しいですね。毎日痛みに耐え辛いです。３回目のワクチン接種なんて考えられません。,16,もーたん,0
3,長期間の副反応を考えると、避けたい考えます。,15,土地文麿,0
4,コロ〇の後遺症もワクチ〇後遺症も両方大勢おられるみたいですね、いろいろな方の動画を見させていただいておりますが、両方の後遺症問題を同時に取り上げられている医師の方の動画は斬新ですね、自分はワクは打たないでイベルとステロイド剤をお守りとして購入し、普段は漢方に頼っております。このまま健康で乗り切りたいです。正直コロ後遺症の多い感じに驚いております、接種済みに多いのか？未接種に多いのか？気になるところです。,9,とととみみみ,0
5,いつもありあとうございます。とても参考になり助かっています。,7,すぅ。,0
6,ワクチンも大事ですが、コロナワクチン後遺症の方に緩和ケアのアドバイスお願いします。,2,竜みぃ,0
7,コロナ後遺症、ワクチン長期副反応に苦しまれている皆さんは…きっと、多岐に渡る症状から…心因性の症状まで出て来てしまうのだと思います。両方からのアプローチが必要だと私も思います🍀,2,iihininaruyo ashitamo,0
8,平畑先生のおかげもあって…みらいクリニックの今井先生を知ることが出来ました🙇‍♀️母もそちらで治療させて頂きます❤️‍🩹発信して頂き、心から感謝しています。本当にありがとうございました🍀✨,1,iihininaruyo ashitamo,0
9,良い情報をありがとうございます。打つ時は無料でもその後は　何でもお金がかかるのですね。,2,鈴木八重子,0
10,24歳の息子　ワクチン接種はしておりません　2月７日に発熱＆喉の痛みがあり現在は味覚、聴覚なしです　　耳鼻咽喉科に行くより後遺症外来に早く受診すべきでしょうか?,3,GARDEN,0
11,何度も申し訳ございません。ワクチン2回接種で後遺症をある程度防げるとの事ですが、12歳、11歳の息子がおりますが、12歳の長男はすでにワクチン接種予約券が送られてきております。11歳の次男にも送られてくる予定です。二人とも健康的な小学生です。このようなまだ小さな息子たちですが、ワクチンのリスクとベネフィット（特に後遺症を危惧しております）を考えた時に、先生は、接種をおすすめされますでしょうか？お答えしにくい内容で申し訳ございません。非常に悩んでおります。アドバイスを頂ければ幸いです。ご多忙のところ恐縮でございますが、宜しくお願いいたします。,8,hayato隼,2
11-1,僕は専門家でも医者でもないですが、真剣に考えてらっしゃる事を感じましたので、個人見解としては受けない方が良いと伝えたいです。自分なりに情報を取捨選択したり、実感や周囲で起きている事実ベースを踏まえた結論です。まずは、「受けないリスクより受けた後のリスクの方が高いです」それと、「事実、浮き彫りになっている氷山の一角の話しでさえ沢山の方が○くなっていたり後遺症の被害者にあわれてる事実があります。尊い人間が1人でも○んでいる毒物を接種したり、させたりする事はリスクしかありません」友人は、1回目を受けた後に数ヶ月の間体調不良と精神的な消息感で苦労しました。今は何とかこなして万全の体調に戻すよう努力しています。職場では、先日までクラスターが起きましたが、皆2回目を受けていた者が陽性反応や発熱を起こし、10日間の自宅待機をしていますし、復帰したと思ったら娘が陽性になり濃厚接触者としてまた自宅待機になりろくに仕事もできない人もいます。結局のところ、ワ○○ンを打ったとて感染や発症を防げる訳でもなくそれで重症化が防げたかも不確かです。結論、大人も子供も自身の免疫を高めたり抗体ができない限り、毒物を体内に入れ続ける事になり何かに頼っていたらキリがないと思います。ですので、子供への接種も僕はお勧めしません。砂場や泥遊びをして自由に免疫をつけながら成長を見届ける方がよっぽど安全だと思います。ちなみに僕は一度も受けていませんがとても健康に過ごしています。,0,ナカタク
12,わたしは打ってないしこれからも打たない病気にもならなかったです高校生の娘も打たなかったです小さな子どもたちには要らないと断言してくれたらありがたいです,2,由美子,0
13,たかだか3000人ではわからないけど、罹ってもひどくなった人はいないけど、打ってしまったほうがいい？なんで？,0,石川誠,0
14,尾身会長は130億を株で1000億にしたんですか?,5,トワイライトゾーン,0
15,尾身会長は補助金130を横領したのになぜ地検は動かないんですか政治の圧力がかかっているとしか思えません,15,でんけん新聞,0
16,尾身会長のことを訊いているのですが、無視かよ,6,でんけん新聞,0
17,ダメだろ。この医者www,2,masa200555,0
